date,game,player,team,prop_type,model_probability,fair_odds,market_odds,market_implied_probability,edge_percent,tier,confidence,result,win_loss_push,profit_loss_units,closing_odds,closing_line_value,notes,evaluation_mode
2026-04-18,NYM@CHC,Luis Robert Jr.,NYM,HR,2.30,+4256,588,14.53,-12.23,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"2 H, 3 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Luis Robert Jr.,NYM,2+ TB,18.68,+435,145,40.82,-22.14,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",W,W,1.450,,,"2 H, 3 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,MJ Melendez,NYM,HR,6.94,+1341,575,14.81,-7.87,C,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,MJ Melendez,NYM,2+ TB,47.19,+112,,,,A+,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI",target_accuracy
2026-04-18,NYM@CHC,Francisco Alvarez,NYM,HR,8.13,+1131,,,,B,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Francisco Alvarez,NYM,2+ TB,38.18,+162,50,66.67,-28.49,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Mark Vientos,NYM,HR,1.32,+7466,625,13.79,-12.47,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",W,W,6.250,,,"1 H, 4 TB, 1 HR, 1 R, 1 RBI",betting_roi
2026-04-18,NYM@CHC,Mark Vientos,NYM,2+ TB,13.08,+664,170,37.04,-23.96,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",W,W,1.700,,,"1 H, 4 TB, 1 HR, 1 R, 1 RBI",betting_roi
2026-04-18,NYM@CHC,Brett Baty,NYM,HR,0.40,+24900,900,10.00,-9.60,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Brett Baty,NYM,2+ TB,8.08,+1138,260,27.78,-19.70,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
